prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,19,19,1.0,0.0,0.0,0.9404255319148936,0.37995965030262274,0.9803583886014227,1.0,0.45028601128777446,0.0,0.0,0.0,0.9473684210526315,1.1918736842105266,6.609999999999999,235,221
L0,codeswitched,19,19,1.0,0.0,0.0,0.9253246753246753,0.4002079002079002,0.9432654573623287,1.0,0.4007940196232385,0.0,0.0,0.0,0.15789473684210525,1.1478736842105264,7.965631578947369,308,285
L0,noisy,19,19,1.0,0.0,0.05263157894736842,2.5495495495495497,1.351948051948052,5.636604297162582,1.173913043478261,3.6822282124552723,0.10526315789473684,0.0,0.0,0.7368421052631579,5.7490105263157885,9.701736842105262,222,566
L1,clean,19,19,1.0,0.0,0.0,0.7829787234042553,0.37525218560860796,0.755047356324446,0.85,0.3616986232902437,0.0,0.0,0.0,1.0,1.0286736842105262,6.657421052631579,235,184
L1,codeswitched,19,19,1.0,0.0,0.0,0.7175324675324676,0.30457380457380456,0.7147140019260125,0.7857142857142857,0.31217306226160146,0.0,0.0,0.0,0.05263157894736842,1.0479052631578947,8.181947368421053,308,221
L1,noisy,19,19,1.0,0.0,0.0,0.7162162162162162,0.2831168831168831,0.8788861321520494,0.8888888888888888,0.4216526791632444,0.05263157894736842,0.0,0.0,1.0,1.2026526315789476,7.049631578947369,222,159
L2,clean,19,19,1.0,0.0,0.0,0.8723404255319149,0.3355749831876261,0.8922453922066923,0.9411764705882353,0.360520478415316,0.0,0.0,0.0,1.0,1.1657736842105262,7.343684210526314,235,205
L2,codeswitched,19,19,1.0,0.0,0.0,0.7532467532467533,0.31704781704781704,0.7587243535401891,0.7857142857142857,0.3232954553331223,0.0,0.0,0.0,0.21052631578947367,1.044478947368421,8.561157894736843,308,232
L2,noisy,19,19,1.0,0.0,0.0,0.8198198198198198,0.32402597402597405,0.8903167114888072,0.9375,0.3705988979648432,0.0,0.0,0.0,1.0,1.1656315789473686,7.420315789473683,222,182
L3,clean,19,19,1.0,0.0,0.0,1.1914893617021276,0.9966375252185609,1.8406641604010026,1.0,1.9225155910074616,0.21052631578947367,0.0,0.0,1.0,1.8328631578947367,11.475263157894737,235,280
L3,codeswitched,19,19,1.0,0.0,0.0,0.9285714285714286,0.6512474012474012,0.9681907766884138,1.0,0.7034462268694586,0.0,0.0,0.0,0.05263157894736842,1.0297052631578947,12.263684210526314,308,286
L3,noisy,19,19,1.0,0.0,0.0,1.2927927927927927,1.0253246753246754,2.197714848715993,1.3333333333333333,2.1146686200138136,0.3157894736842105,0.0,0.0,1.0,2.135931578947368,11.278526315789476,222,287
L4,clean,19,19,1.0,0.0,0.0,1.327659574468085,0.9071956960322798,1.8948868383078907,1.2222222222222223,1.7356518849776421,0.3157894736842105,0.0,0.0,1.0,2.0112315789473683,18.782421052631577,235,312
L4,codeswitched,19,19,1.0,0.0,0.0,0.9285714285714286,0.5374220374220374,0.9537489023069182,0.9047619047619048,0.5898145397149316,0.10526315789473684,0.0,0.0,0.05263157894736842,1.1538894736842102,19.317526315789475,308,286
L4,noisy,19,19,1.0,0.0,0.0,1.2702702702702702,0.9707792207792207,2.0803076531909483,1.0869565217391304,1.907014808474089,0.3157894736842105,0.0,0.0,1.0,2.0270526315789477,17.623052631578943,222,282
