prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L1_a,babble,10.0,1,1,1.0,0.0,0.0,1.1666666666666667,0.34615384615384615,1.1666666666666667,1.1666666666666667,0.34615384615384615,0.0,0.0,0.0,1.0,1.25,7.826,12,14
L1_a,babble,15.0,2,2,1.0,0.0,0.0,1.0357142857142858,0.21465968586387435,0.7266666666666667,0.7266666666666667,0.17831262939958592,0.0,0.0,0.0,1.0,1.2,7.2755,28,29
L1_a,music,5.0,1,1,1.0,0.0,0.0,1.75,1.1290322580645162,1.75,1.75,1.1290322580645162,0.0,0.0,0.0,0.0,1.75,5.127,8,14
L1_a,music,10.0,1,1,1.0,0.0,0.0,0.8888888888888888,0.26153846153846155,0.8888888888888888,0.8888888888888888,0.26153846153846155,0.0,0.0,0.0,1.0,1.1111,5.407,9,8
L1_a,music,15.0,1,1,1.0,0.0,0.0,0.7368421052631579,0.21367521367521367,0.7368421052631579,0.7368421052631579,0.21367521367521367,0.0,0.0,0.0,1.0,1.1579,10.356,19,14
L1_a,noise,5.0,2,2,1.0,0.0,0.0,0.8333333333333334,0.46078431372549017,0.9,0.9,0.5634920634920635,0.0,0.0,0.0,1.0,1.0,4.4085,18,15
L1_a,noise,10.0,1,1,1.0,0.0,0.0,0.75,0.2463768115942029,0.75,0.75,0.2463768115942029,0.0,0.0,0.0,1.0,1.0,6.359,12,9
L1_a,noise,15.0,1,1,1.0,0.0,0.0,0.6153846153846154,0.28187919463087246,0.6153846153846154,0.6153846153846154,0.28187919463087246,0.0,0.0,0.0,1.0,1.1154,11.326,26,16
L1_b,babble,10.0,1,1,1.0,0.0,0.0,1.1666666666666667,0.3717948717948718,1.1666666666666667,1.1666666666666667,0.3717948717948718,0.0,0.0,0.0,1.0,1.25,7.31,12,14
L1_b,babble,15.0,2,2,1.0,0.0,0.0,0.9642857142857143,0.21465968586387435,0.6866666666666666,0.6866666666666666,0.19707556935817805,0.0,0.0,0.0,1.0,1.1800000000000002,7.353,28,27
L1_b,music,5.0,1,1,1.0,0.0,0.0,1.0,0.967741935483871,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0.0,1.0,4.509,8,8
L1_b,music,10.0,1,1,1.0,0.0,0.0,1.3333333333333333,0.4,1.3333333333333333,1.3333333333333333,0.4,0.0,0.0,0.0,1.0,1.3333,6.228,9,12
L1_b,music,15.0,1,1,1.0,0.0,0.0,0.631578947368421,0.19658119658119658,0.631578947368421,0.631578947368421,0.19658119658119658,0.0,0.0,0.0,1.0,1.1053,9.764,19,12
L1_b,noise,5.0,2,2,1.0,0.0,0.0,0.8333333333333334,0.47058823529411764,0.9,0.9,0.5694444444444444,0.0,0.0,0.0,1.0,0.83335,3.867,18,15
L1_b,noise,10.0,1,1,1.0,0.0,0.0,0.75,0.21739130434782608,0.75,0.75,0.21739130434782608,0.0,0.0,0.0,1.0,1.0833,6.835,12,9
L1_b,noise,15.0,1,1,1.0,0.0,0.0,0.6923076923076923,0.38926174496644295,0.6923076923076923,0.6923076923076923,0.38926174496644295,0.0,0.0,0.0,1.0,1.1154,12.436,26,18
L1_c,babble,10.0,1,1,1.0,0.0,0.0,1.1666666666666667,0.3333333333333333,1.1666666666666667,1.1666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0,1.25,7.602,12,14
L1_c,babble,15.0,2,2,1.0,0.0,0.0,0.9285714285714286,0.2094240837696335,0.8133333333333332,0.8133333333333332,0.2128623188405797,0.0,0.0,0.0,1.0,1.12,7.410500000000001,28,26
L1_c,music,5.0,1,1,1.0,0.0,0.0,0.875,0.6129032258064516,0.875,0.875,0.6129032258064516,0.0,0.0,0.0,1.0,0.75,5.738,8,7
L1_c,music,10.0,1,1,1.0,0.0,0.0,1.1111111111111112,0.3076923076923077,1.1111111111111112,1.1111111111111112,0.3076923076923077,0.0,0.0,0.0,1.0,1.2222,5.765,9,10
L1_c,music,15.0,1,1,1.0,0.0,0.0,0.7368421052631579,0.19658119658119658,0.7368421052631579,0.7368421052631579,0.19658119658119658,0.0,0.0,0.0,1.0,1.1579,10.141,19,14
L1_c,noise,5.0,2,2,1.0,0.0,0.0,0.8333333333333334,0.5784313725490197,0.9,0.9,0.5912698412698413,0.0,0.0,0.0,1.0,1.2666499999999998,4.32,18,15
L1_c,noise,10.0,1,1,1.0,0.0,0.0,0.75,0.2608695652173913,0.75,0.75,0.2608695652173913,0.0,0.0,0.0,1.0,1.0,6.865,12,9
L1_c,noise,15.0,1,1,1.0,0.0,0.0,0.8461538461538461,0.3825503355704698,0.8461538461538461,0.8461538461538461,0.3825503355704698,0.0,0.0,0.0,1.0,0.9231,12.193,26,22
