prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2_a,babble,10.0,3,3,1.0,0.0,0.0,2.8958333333333335,1.733695652173913,3.01437908496732,1.1764705882352942,1.6243607796635293,0.3333333333333333,0.0,0.0,0.6666666666666666,2.9519,12.658999999999999,48,139
L2_a,babble,15.0,4,4,1.0,0.0,0.0,1.411764705882353,1.0343347639484979,1.231060606060606,1.1666666666666665,1.0468903443039972,0.0,0.0,0.0,0.0,1.064375,3.5002500000000003,34,48
L2_a,music,5.0,2,2,1.0,0.0,0.0,1.3181818181818181,1.2290076335877862,1.53125,1.53125,1.389010989010989,0.0,0.0,0.0,0.0,1.53125,3.414,22,29
L2_a,music,10.0,2,2,1.0,0.0,0.0,1.170731707317073,0.7874564459930313,1.1702898550724639,1.1702898550724639,0.7550813008130082,0.0,0.0,0.0,0.5,1.1703000000000001,6.6485,41,48
L2_a,music,15.0,3,3,1.0,0.0,0.0,1.1428571428571428,1.03125,1.1481481481481481,1.1111111111111112,1.0526315789473684,0.0,0.0,0.0,0.0,0.9814666666666666,2.100333333333333,14,16
L2_a,noise,5.0,4,4,1.0,0.0,0.0,1.2040816326530612,0.978021978021978,1.1574946792338097,1.199604743083004,0.9935364240325602,0.0,0.0,0.0,0.0,1.1575,4.40675,49,59
L2_a,noise,10.0,2,2,1.0,0.0,0.0,1.0,0.9571428571428572,1.0,1.0,0.9602360981671327,0.0,0.0,0.0,0.0,0.675,3.3819999999999997,25,25
L2_b,babble,10.0,3,3,1.0,0.0,0.0,0.9791666666666666,0.6222826086956522,0.9803921568627452,1.0,0.6068744692752056,0.0,0.0,0.0,1.0,0.7361,5.523333333333333,48,47
L2_b,babble,15.0,4,4,1.0,0.0,0.0,2.911764705882353,1.9656652360515021,1.799242424242424,1.1666666666666665,1.3862261146496815,0.25,0.0,0.0,0.25,1.6439499999999998,7.905749999999999,34,99
L2_b,music,5.0,2,2,1.0,0.0,0.0,1.2727272727272727,1.1984732824427482,1.4479166666666665,1.4479166666666665,1.339010989010989,0.0,0.0,0.0,0.0,1.4479,3.2569999999999997,22,28
L2_b,music,10.0,2,2,1.0,0.0,0.0,1.2195121951219512,0.6341463414634146,1.2016908212560387,1.2016908212560387,0.6300813008130082,0.0,0.0,0.0,1.0,1.2017000000000002,8.404,41,50
L2_b,music,15.0,3,3,1.0,0.0,0.0,1.1428571428571428,0.8541666666666666,1.2037037037037037,1.1111111111111112,1.1045669729880256,0.0,0.0,0.0,0.3333333333333333,1.2037,2.2936666666666667,14,16
L2_b,noise,5.0,4,4,1.0,0.0,0.0,2.7551020408163267,1.8983516483516483,2.849194283976893,1.2892976588628762,2.035029350316998,0.25,0.0,0.0,0.25,2.8492,9.58225,49,135
L2_b,noise,10.0,2,2,1.0,0.0,0.0,1.4,1.2142857142857142,2.0,2.0,1.5809257533395464,0.5,0.0,0.0,0.5,1.975,3.9640000000000004,25,35
L2_c,babble,10.0,3,3,1.0,0.0,0.0,3.3541666666666665,2.0869565217391304,3.511111111111111,1.0,1.9525858810888863,0.3333333333333333,0.0,0.0,0.6666666666666666,3.4694333333333334,12.661333333333333,48,161
L2_c,babble,15.0,4,4,1.0,0.0,0.0,4.617647058823529,2.819742489270386,11.321969696969697,1.0,7.378674621876911,0.25,0.0,0.0,0.25,11.261375000000001,9.05575,34,157
L2_c,music,5.0,2,2,1.0,0.0,0.0,1.2272727272727273,1.0916030534351144,1.3125,1.3125,1.164010989010989,0.0,0.0,0.0,0.0,1.3125,2.9485,22,27
L2_c,music,10.0,2,2,1.0,0.0,0.0,1.048780487804878,0.794425087108014,1.0434782608695652,1.0434782608695652,0.7632113821138211,0.0,0.0,0.0,0.5,1.0434999999999999,6.140000000000001,41,43
L2_c,music,15.0,3,3,1.0,0.0,0.0,1.3571428571428572,1.0416666666666667,1.4074074074074074,1.2222222222222223,1.0701754385964912,0.0,0.0,0.0,0.0,1.2407333333333332,1.8386666666666667,14,19
L2_c,noise,5.0,4,4,1.0,0.0,0.0,1.2244897959183674,0.9972527472527473,1.153010033444816,1.1521739130434783,1.0025750204223265,0.0,0.0,0.0,0.0,0.94845,3.3105,49,60
L2_c,noise,10.0,2,2,1.0,0.0,0.0,1.0,0.95,1.0,1.0,0.9684684684684685,0.0,0.0,0.0,0.0,0.9,3.3325,25,25
