prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L1_a,babble,10.0,1,1,1.0,0.0,0.0,7.166666666666667,2.1538461538461537,7.166666666666667,7.166666666666667,2.1538461538461537,1.0,0.0,0.0,0.0,7.1667,26.092,12,86
L1_a,babble,15.0,2,2,1.0,0.0,0.0,1.5,1.0523560209424083,1.8666666666666667,1.8666666666666667,1.1798654244306417,0.5,0.0,0.0,0.0,1.86665,4.8585,28,42
L1_a,music,5.0,1,1,1.0,0.0,0.0,1.125,0.6451612903225806,1.125,1.125,0.6451612903225806,0.0,0.0,0.0,1.0,1.125,2.861,8,9
L1_a,music,10.0,1,1,1.0,0.0,0.0,1.4444444444444444,1.0923076923076922,1.4444444444444444,1.4444444444444444,1.0923076923076922,0.0,0.0,0.0,0.0,1.4444,3.644,9,13
L1_a,music,15.0,1,1,1.0,0.0,0.0,0.9473684210526315,0.4017094017094017,0.9473684210526315,0.9473684210526315,0.4017094017094017,0.0,0.0,0.0,1.0,1.0,6.427,19,18
L1_a,noise,5.0,2,2,1.0,0.0,0.0,1.0,0.9509803921568627,1.0,1.0,0.9484126984126984,0.0,0.0,0.0,0.0,0.8,2.4545,18,18
L1_a,noise,10.0,1,1,1.0,0.0,0.0,1.0,0.6811594202898551,1.0,1.0,0.6811594202898551,0.0,0.0,0.0,1.0,1.0,3.212,12,12
L1_a,noise,15.0,1,1,1.0,0.0,0.0,1.0,0.7785234899328859,1.0,1.0,0.7785234899328859,0.0,0.0,0.0,1.0,0.9615,4.856,26,26
L1_b,babble,10.0,1,1,1.0,0.0,0.0,7.166666666666667,5.923076923076923,7.166666666666667,7.166666666666667,5.923076923076923,1.0,0.0,0.0,0.0,7.1667,26.188,12,86
L1_b,babble,15.0,2,2,1.0,0.0,0.0,1.5,1.036649214659686,1.8666666666666667,1.8666666666666667,1.1709368530020705,0.5,0.0,0.0,0.0,1.86665,4.8365,28,42
L1_b,music,5.0,1,1,1.0,0.0,0.0,1.0,0.6935483870967742,1.0,1.0,0.6935483870967742,0.0,0.0,0.0,1.0,1.0,2.862,8,8
L1_b,music,10.0,1,1,1.0,0.0,0.0,1.5555555555555556,1.1384615384615384,1.5555555555555556,1.5555555555555556,1.1384615384615384,0.0,0.0,0.0,0.0,1.5556,3.626,9,14
L1_b,music,15.0,1,1,1.0,0.0,0.0,0.9473684210526315,0.38461538461538464,0.9473684210526315,0.9473684210526315,0.38461538461538464,0.0,0.0,0.0,1.0,0.9474,6.416,19,18
L1_b,noise,5.0,2,2,1.0,0.0,0.0,1.0555555555555556,0.9705882352941176,1.1666666666666665,1.1666666666666665,1.0694444444444444,0.0,0.0,0.0,0.5,1.1,2.3365,18,19
L1_b,noise,10.0,1,1,1.0,0.0,0.0,0.9166666666666666,0.6086956521739131,0.9166666666666666,0.9166666666666666,0.6086956521739131,0.0,0.0,0.0,1.0,0.9167,3.791,12,11
L1_b,noise,15.0,1,1,1.0,0.0,0.0,4.1923076923076925,3.261744966442953,4.1923076923076925,4.1923076923076925,3.261744966442953,1.0,0.0,0.0,1.0,4.1923,26.451,26,109
L1_c,babble,10.0,1,1,1.0,0.0,0.0,1.1666666666666667,0.9871794871794872,1.1666666666666667,1.1666666666666667,0.9871794871794872,0.0,0.0,0.0,0.0,1.1667,4.388,12,14
L1_c,babble,15.0,2,2,1.0,0.0,0.0,1.4285714285714286,1.036649214659686,1.8266666666666667,1.8266666666666667,1.1709368530020705,0.5,0.0,0.0,0.0,1.8266499999999999,4.7715,28,40
L1_c,music,5.0,1,1,1.0,0.0,0.0,1.25,0.9516129032258065,1.25,1.25,0.9516129032258065,0.0,0.0,0.0,0.0,1.25,2.451,8,10
L1_c,music,10.0,1,1,1.0,0.0,0.0,1.4444444444444444,1.0923076923076922,1.4444444444444444,1.4444444444444444,1.0923076923076922,0.0,0.0,0.0,0.0,1.4444,3.567,9,13
L1_c,music,15.0,1,1,1.0,0.0,0.0,1.0,0.37606837606837606,1.0,1.0,0.37606837606837606,0.0,0.0,0.0,1.0,1.0,6.243,19,19
L1_c,noise,5.0,2,2,1.0,0.0,0.0,1.0555555555555556,0.9607843137254902,1.1666666666666665,1.1666666666666665,1.0198412698412698,0.0,0.0,0.0,0.0,1.1,2.5175,18,19
L1_c,noise,10.0,1,1,1.0,0.0,0.0,1.0,0.6521739130434783,1.0,1.0,0.6521739130434783,0.0,0.0,0.0,1.0,0.9167,3.541,12,12
L1_c,noise,15.0,1,1,1.0,0.0,0.0,2.0,2.120805369127517,2.0,2.0,2.120805369127517,1.0,0.0,0.0,1.0,2.0,26.153,26,52
