prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,9,9,1.0,0.0,0.0,1.7431192660550459,1.397037037037037,1.7309822076978942,1.375,1.24685462725877,0.3333333333333333,0.0,0.0,0.0,1.6846777777777777,5.7122222222222225,109,190
L0,codeswitched,9,9,1.0,0.0,0.0,1.1812080536912752,0.9609292502639916,1.2023956496178718,1.0,0.9676417818185106,0.1111111111111111,0.0,0.0,0.0,1.1644333333333334,6.823666666666667,149,176
L0,noisy,9,9,1.0,0.0,0.0,3.6333333333333333,2.862565445026178,2.5963127905233163,1.3333333333333333,2.0486920951233447,0.3333333333333333,0.0,0.0,0.0,2.5889,8.435222222222222,120,436
L1,clean,9,9,1.0,0.0,0.0,1.5596330275229358,1.242962962962963,1.2348856209150325,1.0,1.0201515518047883,0.1111111111111111,0.0,0.0,0.4444444444444444,1.1365222222222222,6.013111111111111,109,170
L1,codeswitched,9,9,1.0,0.0,0.0,0.9530201342281879,0.7381203801478353,0.952366255144033,1.0,0.7363351042392869,0.0,0.0,0.0,0.1111111111111111,0.729488888888889,4.090555555555556,149,142
L1,noisy,9,9,1.0,0.0,0.0,1.7666666666666666,0.9685863874345549,1.935201429499675,1.125,1.0364560304228216,0.2222222222222222,0.0,0.0,0.3333333333333333,1.892322222222222,6.500666666666666,120,212
L2,clean,9,9,1.0,0.0,0.0,1.6330275229357798,1.3007407407407408,1.424269244734931,1.2941176470588236,1.0934580692334515,0.1111111111111111,0.0,0.0,0.2222222222222222,1.3631555555555557,5.985111111111111,109,178
L2,codeswitched,9,9,1.0,0.0,0.0,1.4496644295302012,1.2565997888067582,2.140249853027631,1.0,2.2192363206932697,0.1111111111111111,0.0,0.0,0.2222222222222222,1.9593777777777777,6.685888888888889,149,216
L2,noisy,9,9,1.0,0.0,0.0,2.341666666666667,1.3782722513089005,2.9897265956915082,1.32,1.5281308218116958,0.2222222222222222,0.0,0.0,0.4444444444444444,2.983877777777778,7.648777777777777,120,281
L3,clean,9,9,1.0,0.0,0.0,1.2844036697247707,0.9318518518518518,1.6413126361655772,1.3333333333333333,1.0855573893415402,0.2222222222222222,0.0,0.0,0.7777777777777778,1.5961666666666665,5.014666666666667,109,140
L3,codeswitched,9,9,1.0,0.0,0.0,1.3221476510067114,1.06441393875396,1.2137419165196943,1.0,0.9246976041757947,0.1111111111111111,0.0,0.0,0.2222222222222222,0.9598444444444443,6.9543333333333335,149,197
L3,noisy,9,9,1.0,0.0,0.0,1.2083333333333333,0.7657068062827225,1.682794022092268,1.0833333333333333,1.0730788894327334,0.1111111111111111,0.0,0.0,1.0,1.6621,5.844666666666667,120,145
L4,clean,9,9,1.0,0.0,0.0,1.81651376146789,1.3155555555555556,2.12391975308642,1.1111111111111112,1.319427635297481,0.3333333333333333,0.0,0.0,1.0,2.0225,8.579777777777778,109,198
L4,codeswitched,9,9,1.0,0.0,0.0,0.9932885906040269,0.7402323125659979,0.9861111111111112,1.0,0.6886681478744964,0.0,0.0,0.0,0.1111111111111111,0.6814444444444444,6.138333333333332,149,148
L4,noisy,9,9,1.0,0.0,0.0,2.3583333333333334,2.24869109947644,2.8658946868595994,1.3333333333333333,2.476330530164019,0.3333333333333333,0.0,0.0,1.0,2.775533333333333,13.68211111111111,120,283
