prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2_a,babble,10.0,1,1,1.0,0.0,0.0,1.25,0.28205128205128205,1.25,1.25,0.28205128205128205,0.0,0.0,0.0,1.0,1.4167,6.262,12,15
L2_a,babble,15.0,2,2,1.0,0.0,0.0,0.8571428571428571,0.25654450261780104,0.9199999999999999,0.9199999999999999,0.33346273291925466,0.0,0.0,0.0,1.0,1.2866499999999998,7.549,28,24
L2_a,music,5.0,1,1,1.0,0.0,0.0,0.75,0.3709677419354839,0.75,0.75,0.3709677419354839,0.0,0.0,0.0,1.0,1.0,4.95,8,6
L2_a,music,10.0,1,1,1.0,0.0,0.0,1.0,0.35384615384615387,1.0,1.0,0.35384615384615387,0.0,0.0,0.0,1.0,1.2222,5.729,9,9
L2_a,music,15.0,1,1,1.0,0.0,0.0,0.7368421052631579,0.26495726495726496,0.7368421052631579,0.7368421052631579,0.26495726495726496,0.0,0.0,0.0,1.0,1.0,9.327,19,14
L2_a,noise,5.0,2,2,1.0,0.0,0.0,1.0,0.4803921568627451,1.1333333333333333,1.1333333333333333,0.4880952380952381,0.0,0.0,0.0,1.0,1.1,3.878,18,18
L2_a,noise,10.0,1,1,1.0,0.0,0.0,0.8333333333333334,0.4782608695652174,0.8333333333333334,0.8333333333333334,0.4782608695652174,0.0,0.0,0.0,1.0,1.0,5.952,12,10
L2_a,noise,15.0,1,1,1.0,0.0,0.0,1.1153846153846154,0.5100671140939598,1.1153846153846154,1.1153846153846154,0.5100671140939598,0.0,0.0,0.0,1.0,1.1538,11.935,26,29
L2_b,babble,10.0,1,1,1.0,0.0,0.0,14.25,12.807692307692308,14.25,14.25,12.807692307692308,1.0,0.0,0.0,1.0,14.25,68.339,12,171
L2_b,babble,15.0,2,2,1.0,0.0,0.0,0.9285714285714286,0.4031413612565445,0.96,0.96,0.416796066252588,0.0,0.0,0.0,1.0,1.2466499999999998,8.020999999999999,28,26
L2_b,music,5.0,1,1,1.0,0.0,0.0,0.625,0.3870967741935484,0.625,0.625,0.3870967741935484,0.0,0.0,0.0,1.0,0.75,4.037,8,5
L2_b,music,10.0,1,1,1.0,0.0,0.0,0.8888888888888888,0.3230769230769231,0.8888888888888888,0.8888888888888888,0.3230769230769231,0.0,0.0,0.0,1.0,1.2222,5.384,9,8
L2_b,music,15.0,1,1,1.0,0.0,0.0,0.7368421052631579,0.3504273504273504,0.7368421052631579,0.7368421052631579,0.3504273504273504,0.0,0.0,0.0,1.0,0.9474,8.906,19,14
L2_b,noise,5.0,2,2,1.0,0.0,0.0,1.0555555555555556,0.6078431372549019,1.4333333333333333,1.4333333333333333,0.871031746031746,0.0,0.0,0.0,1.0,1.43335,4.4079999999999995,18,19
L2_b,noise,10.0,1,1,1.0,0.0,0.0,1.0833333333333333,0.4927536231884058,1.0833333333333333,1.0833333333333333,0.4927536231884058,0.0,0.0,0.0,1.0,1.1667,5.869,12,13
L2_b,noise,15.0,1,1,1.0,0.0,0.0,1.0,0.5033557046979866,1.0,1.0,0.5033557046979866,0.0,0.0,0.0,1.0,1.0769,11.298,26,26
L2_c,babble,10.0,1,1,1.0,0.0,0.0,0.75,0.3333333333333333,0.75,0.75,0.3333333333333333,0.0,0.0,0.0,1.0,1.1667,6.63,12,9
L2_c,babble,15.0,2,2,1.0,0.0,0.0,1.25,0.6020942408376964,2.6066666666666665,2.6066666666666665,1.5993788819875776,0.5,0.0,0.0,1.0,2.93335,8.2285,28,35
L2_c,music,5.0,1,1,1.0,0.0,0.0,2.375,1.6774193548387097,2.375,2.375,1.6774193548387097,1.0,0.0,0.0,1.0,2.5,6.547,8,19
L2_c,music,10.0,1,1,1.0,0.0,0.0,1.0,0.38461538461538464,1.0,1.0,0.38461538461538464,0.0,0.0,0.0,1.0,1.2222,5.562,9,9
L2_c,music,15.0,1,1,1.0,0.0,0.0,0.7368421052631579,0.28205128205128205,0.7368421052631579,0.7368421052631579,0.28205128205128205,0.0,0.0,0.0,1.0,1.0526,9.374,19,14
L2_c,noise,5.0,2,2,1.0,0.0,0.0,1.0555555555555556,0.5294117647058824,1.4333333333333333,1.4333333333333333,0.7797619047619048,0.0,0.0,0.0,1.0,1.46665,4.1325,18,19
L2_c,noise,10.0,1,1,1.0,0.0,0.0,1.0,0.5217391304347826,1.0,1.0,0.5217391304347826,0.0,0.0,0.0,1.0,1.0,5.665,12,12
L2_c,noise,15.0,1,1,1.0,0.0,0.0,1.4615384615384615,0.7651006711409396,1.4615384615384615,1.4615384615384615,0.7651006711409396,0.0,0.0,0.0,1.0,1.5385,13.51,26,38
