prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,9,9,1.0,0.0,0.0,1.4587155963302751,0.9422222222222222,1.7820669934640523,1.6666666666666667,1.1186025315992696,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,1.8669222222222226,5.561444444444445,109,159
L0,codeswitched,9,9,1.0,0.0,0.0,1.1946308724832215,0.7866948257655755,1.2037037037037037,1.2,0.8326147029588025,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,1.1860555555555556,5.561222222222223,149,178
L0,noisy,9,9,1.0,0.0,0.0,1.475,0.9018324607329843,1.7087609336732141,1.368421052631579,1.1433831657035436,0.3333333333333333,0.0,0.0,0.4444444444444444,1.7283333333333333,5.760444444444444,120,177
L1,clean,9,9,1.0,0.0,0.0,0.8256880733944955,0.3451851851851852,0.9944898329702253,0.875,0.3956693824907885,0.0,0.0,0.0,1.0,1.1171222222222221,6.142333333333333,109,90
L1,codeswitched,9,9,1.0,0.0,0.0,0.8657718120805369,0.4477296726504752,0.9059905937683715,0.9629629629629629,0.46861095840628536,0.0,0.0,0.0,0.0,0.9374,7.359666666666666,149,129
L1,noisy,9,9,1.0,0.0,0.0,0.9333333333333333,0.4463350785340314,0.9203463787674314,0.9615384615384616,0.4508260756153047,0.0,0.0,0.0,1.0,1.132411111111111,7.014111111111112,120,112
L2,clean,9,9,1.0,0.0,0.0,0.8440366972477065,0.3377777777777778,1.0371913580246914,0.875,0.3940549055798708,0.0,0.0,0.0,1.0,1.1771777777777777,6.1691111111111105,109,92
L2,codeswitched,9,9,1.0,0.0,0.0,0.8926174496644296,0.426610348468849,0.9213668430335097,0.9166666666666666,0.44872784941857713,0.0,0.0,0.0,0.0,0.9982777777777776,7.7494444444444435,149,133
L2,noisy,9,9,1.0,0.0,0.0,0.9583333333333334,0.35732984293193715,0.9954325985904933,1.0,0.38055616654590335,0.0,0.0,0.0,1.0,1.174,6.784111111111112,120,115
L3,clean,9,9,1.0,0.0,0.0,0.8899082568807339,0.33925925925925926,1.0460875090777053,0.9375,0.37786929540515996,0.0,0.0,0.0,1.0,1.1426888888888889,7.543333333333333,109,97
L3,codeswitched,9,9,1.0,0.0,0.0,0.912751677852349,0.515311510031679,0.8970546737213403,0.8666666666666667,0.49287660170884706,0.0,0.0,0.0,0.0,0.9633777777777779,8.792000000000002,149,136
L3,noisy,9,9,1.0,0.0,0.0,1.65,1.7395287958115184,2.487611336032389,1.0769230769230769,2.581926193893305,0.2222222222222222,0.0,0.0,1.0,2.6945888888888887,15.732777777777777,120,198
L4,clean,9,9,1.0,0.0,0.0,0.8807339449541285,0.32592592592592595,1.0342047930283225,0.875,0.36600487040362106,0.0,0.0,0.0,1.0,1.1366222222222222,10.637111111111112,109,96
L4,codeswitched,9,9,1.0,0.0,0.0,0.912751677852349,0.49736008447729674,0.9075191064079954,0.9333333333333333,0.48726045504321025,0.0,0.0,0.0,0.0,0.9369444444444444,11.715111111111112,149,136
L4,noisy,9,9,1.0,0.0,0.0,0.9666666666666667,0.3717277486910995,1.0032368670965162,0.9166666666666666,0.43646142228972756,0.0,0.0,0.0,1.0,1.2075666666666667,11.555555555555554,120,116
