prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2_a,babble,10.0,1,1,1.0,0.0,0.0,0.8333333333333334,0.21794871794871795,0.8333333333333334,0.8333333333333334,0.21794871794871795,0.0,0.0,0.0,1.0,1.0,4.516,12,10
L2_a,babble,15.0,2,2,1.0,0.0,0.0,0.5357142857142857,0.15706806282722513,0.5933333333333333,0.5933333333333333,0.2769151138716356,0.0,0.0,0.0,1.0,0.8933500000000001,4.917,28,15
L2_a,music,5.0,1,1,1.0,0.0,0.0,0.75,0.43548387096774194,0.75,0.75,0.43548387096774194,0.0,0.0,0.0,1.0,0.75,4.098,8,6
L2_a,music,10.0,1,1,1.0,0.0,0.0,0.5555555555555556,0.18461538461538463,0.5555555555555556,0.5555555555555556,0.18461538461538463,0.0,0.0,0.0,1.0,1.1111,4.347,9,5
L2_a,music,15.0,1,1,1.0,0.0,0.0,0.5263157894736842,0.20512820512820512,0.5263157894736842,0.5263157894736842,0.20512820512820512,0.0,0.0,0.0,1.0,1.0,5.501,19,10
L2_a,noise,5.0,2,2,1.0,0.0,0.0,0.8888888888888888,0.46078431372549017,0.9333333333333333,0.9333333333333333,0.47619047619047616,0.0,0.0,0.0,1.0,1.1333,3.9215,18,16
L2_a,noise,10.0,1,1,1.0,0.0,0.0,0.5833333333333334,0.18840579710144928,0.5833333333333334,0.5833333333333334,0.18840579710144928,0.0,0.0,0.0,1.0,1.0,4.566,12,7
L2_a,noise,15.0,1,1,1.0,0.0,0.0,0.7307692307692307,0.37583892617449666,0.7307692307692307,0.7307692307692307,0.37583892617449666,0.0,0.0,0.0,1.0,0.9615,6.196,26,19
L2_b,babble,10.0,1,1,1.0,0.0,0.0,0.8333333333333334,0.1794871794871795,0.8333333333333334,0.8333333333333334,0.1794871794871795,0.0,0.0,0.0,1.0,1.0,4.632,12,10
L2_b,babble,15.0,2,2,1.0,0.0,0.0,0.6071428571428571,0.17277486910994763,0.6333333333333333,0.6333333333333333,0.28584368530020704,0.0,0.0,0.0,1.0,0.9133499999999999,4.985,28,17
L2_b,music,5.0,1,1,1.0,0.0,0.0,0.75,0.4032258064516129,0.75,0.75,0.4032258064516129,0.0,0.0,0.0,1.0,0.875,4.23,8,6
L2_b,music,10.0,1,1,1.0,0.0,0.0,0.6666666666666666,0.2153846153846154,0.6666666666666666,0.6666666666666666,0.2153846153846154,0.0,0.0,0.0,1.0,1.2222,4.347,9,6
L2_b,music,15.0,1,1,1.0,0.0,0.0,0.5263157894736842,0.23076923076923078,0.5263157894736842,0.5263157894736842,0.23076923076923078,0.0,0.0,0.0,1.0,0.8947,5.331,19,10
L2_b,noise,5.0,2,2,1.0,0.0,0.0,0.7222222222222222,0.4019607843137255,0.5666666666666667,0.5666666666666667,0.2876984126984127,0.0,0.0,0.0,1.0,0.96665,4.005,18,13
L2_b,noise,10.0,1,1,1.0,0.0,0.0,0.5833333333333334,0.21739130434782608,0.5833333333333334,0.5833333333333334,0.21739130434782608,0.0,0.0,0.0,1.0,1.0,4.739,12,7
L2_b,noise,15.0,1,1,1.0,0.0,0.0,0.5769230769230769,0.2684563758389262,0.5769230769230769,0.5769230769230769,0.2684563758389262,0.0,0.0,0.0,1.0,1.0769,6.28,26,15
L2_c,babble,10.0,1,1,1.0,0.0,0.0,0.8333333333333334,0.19230769230769232,0.8333333333333334,0.8333333333333334,0.19230769230769232,0.0,0.0,0.0,1.0,1.0,4.383,12,10
L2_c,babble,15.0,2,2,1.0,0.0,0.0,0.6785714285714286,0.17277486910994763,0.8200000000000001,0.8200000000000001,0.30460662525879917,0.0,0.0,0.0,1.0,1.22665,4.911,28,19
L2_c,music,5.0,1,1,1.0,0.0,0.0,1.0,0.43548387096774194,1.0,1.0,0.43548387096774194,0.0,0.0,0.0,1.0,0.875,3.851,8,8
L2_c,music,10.0,1,1,1.0,0.0,0.0,0.5555555555555556,0.23076923076923078,0.5555555555555556,0.5555555555555556,0.23076923076923078,0.0,0.0,0.0,1.0,1.1111,4.159,9,5
L2_c,music,15.0,1,1,1.0,0.0,0.0,0.47368421052631576,0.19658119658119658,0.47368421052631576,0.47368421052631576,0.19658119658119658,0.0,0.0,0.0,1.0,0.9474,5.087,19,9
L2_c,noise,5.0,2,2,1.0,0.0,0.0,0.9444444444444444,0.4411764705882353,0.8333333333333333,0.8333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.8999999999999999,3.418,18,17
L2_c,noise,10.0,1,1,1.0,0.0,0.0,0.5833333333333334,0.18840579710144928,0.5833333333333334,0.5833333333333334,0.18840579710144928,0.0,0.0,0.0,1.0,1.0,4.497,12,7
L2_c,noise,15.0,1,1,1.0,0.0,0.0,0.5769230769230769,0.2684563758389262,0.5769230769230769,0.5769230769230769,0.2684563758389262,0.0,0.0,0.0,1.0,1.0769,6.053,26,15
