prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,9,9,1.0,0.0,0.0,1.2293577981651376,1.0222222222222221,1.2233115468409586,1.1666666666666667,1.0383657514693432,0.0,0.0,0.0,0.0,1.1714666666666667,3.252666666666667,109,134
L0,codeswitched,9,9,1.0,0.0,0.0,1.1543624161073827,0.9039070749736009,1.195414462081129,1.2,0.9180158559752051,0.0,0.0,0.0,0.0,1.213,3.608111111111111,149,172
L0,noisy,9,9,1.0,0.0,0.0,1.2916666666666667,1.056282722513089,1.3050777227970212,1.3333333333333333,1.047352159545416,0.0,0.0,0.0,0.0,1.2976444444444446,3.3431111111111114,120,155
L1,clean,9,9,1.0,0.0,0.0,0.6697247706422018,0.33037037037037037,0.7991240014524328,0.625,0.31780855283387033,0.0,0.0,0.0,1.0,1.086311111111111,4.139666666666667,109,73
L1,codeswitched,9,9,1.0,0.0,0.0,0.5906040268456376,0.3453009503695882,0.6242533803644914,0.5714285714285714,0.37156374862070396,0.0,0.0,0.0,0.0,0.902,4.609222222222222,149,88
L1,noisy,9,9,1.0,0.0,0.0,0.6333333333333333,0.2630890052356021,0.628462538111661,0.6,0.2751613103590287,0.0,0.0,0.0,1.0,0.9502999999999999,4.425666666666666,120,76
L2,clean,9,9,1.0,0.0,0.0,0.5871559633027523,0.27111111111111114,0.7693400508351488,0.625,0.28950458092387443,0.0,0.0,0.0,1.0,1.1060666666666665,4.408777777777778,109,64
L2,codeswitched,9,9,1.0,0.0,0.0,0.5704697986577181,0.2988384371700106,0.6331393298059964,0.5333333333333333,0.3191972165344714,0.0,0.0,0.0,0.0,0.955511111111111,5.177222222222222,149,85
L2,noisy,9,9,1.0,0.0,0.0,0.6416666666666667,0.25392670157068065,0.6392487629329735,0.6666666666666666,0.271600822658756,0.0,0.0,0.0,1.0,0.980977777777778,4.755555555555556,120,77
L3,clean,9,9,1.0,0.0,0.0,0.47706422018348627,0.1837037037037037,0.6414624183006535,0.625,0.2332412475930822,0.0,0.0,0.0,1.0,1.0875444444444442,7.700555555555555,109,52
L3,codeswitched,9,9,1.0,0.0,0.0,0.48322147651006714,0.22914466737064415,0.542989417989418,0.4666666666666667,0.2652576262222474,0.0,0.0,0.0,0.2222222222222222,0.9318555555555554,8.261666666666665,149,72
L3,noisy,9,9,1.0,0.0,0.0,0.6083333333333333,0.2526178010471204,0.5875963412805517,0.6153846153846154,0.24425729345256755,0.0,0.0,0.0,1.0,1.0340777777777777,8.028777777777778,120,73
L4,clean,9,9,1.0,0.0,0.0,0.47706422018348627,0.19555555555555557,0.6179057734204794,0.5882352941176471,0.24115229850749914,0.0,0.0,0.0,1.0,1.0875444444444442,14.472888888888889,109,52
L4,codeswitched,9,9,1.0,0.0,0.0,0.4899328859060403,0.22703273495248152,0.5522486772486773,0.4666666666666667,0.25367204648024305,0.0,0.0,0.0,0.2222222222222222,0.9503666666666665,14.58377777777778,149,73
L4,noisy,9,9,1.0,0.0,0.0,0.6,0.22905759162303665,0.5853456290298396,0.5384615384615384,0.23250104469516414,0.0,0.0,0.0,1.0,1.0250000000000001,14.807444444444444,120,72
